symbol,date added
CINF,12/18/1997
CL,
CLX,3/31/1969
CMA,12/1/1995
CMCSA,9/18/2015
CME,8/11/2006
CMG,4/28/2011
CMI,3/31/1965
CMS,5/3/1999
CNC,3/30/2016
CNP,7/31/1985
COF,7/1/1998
COG,6/23/2008
COO,9/23/2016
COP,
COST,10/1/1993
COTY,10/3/2016
CPB,
CPRI,11/13/2013
CPRT,7/2/2018
CPT,4/4/2022
CRL,5/14/2021
CRM,9/15/2008
CSCO,12/1/1993
CSGP,9/19/2022
CSX,9/30/1967
CTAS,3/1/2001
CTL,3/25/1999
CTLT,9/21/2020
CTSH,11/17/2006
CTVA,6/3/2019
CTXS,12/1/1999
CVS,
CVX,
CXO,2/22/2016
CZR,3/22/2021
D,
DAL,9/11/2013
DD,
DE,
DFS,7/2/2007
DG,12/3/2012
DGX,12/12/2002
DHI,
DHR,
DIS,6/30/1976
DISCA,3/1/2010
DISCK,8/7/2014
DISH,3/13/2017
DLR,5/18/2016
DLTR,12/19/2011
DOV,10/31/1985
DOW,4/1/2019
DPZ,5/12/2020
DRE,7/26/2017
DRI,
DTE,
DUK,6/30/1976
DVA,7/31/2008
DVN,8/30/2000
DXC,4/4/2017
DXCM,5/12/2020
EA,7/22/2002
EBAY,
ECL,1/31/1989
ED,
EFX,6/19/1997
EIX,
EL,1/5/2006
EMN,1/1/1994
EMR,3/31/1965
ENPH,1/7/2021
EOG,11/2/2000
EPAM,12/14/2021
EQIX,3/20/2015
EQR,12/3/2001
EQT,10/3/2022
ES,
ESS,4/2/2014
ETFC,3/31/2004
ETN,
ETR,
ETSY,9/21/2020
EVRG,6/5/2018
EW,4/1/2011
EXC,
EXPD,10/10/2007
EXPE,10/2/2007
EXR,1/19/2016
F,
FANG,12/3/2018
FAST,9/15/2009
FB,12/23/2013
FBHS,6/22/2016
FCX,
FDS,12/20/2021
FDX,12/31/1980
FE,
FFIV,12/20/2010
FIS,11/10/2006
FISV,4/2/2001
FITB,
FLIR,1/2/2009
FLS,10/2/2008
FLT,6/20/2018
FMC,8/19/2009
FOX,9/18/2015
FOXA,7/1/2013
FRC,1/2/2019
FRT,2/1/2016
FSLR,12/19/2022
FTI,6/5/2009
FTNT,10/11/2018
FTV,7/1/2016
GD,
GE,
GEHC,1/4/2022
GILD,7/1/2004
GIS,3/31/1969
GL,4/30/1989
GLW,
GM,6/6/2013
GNRC,3/22/2021
GOOG,4/3/2006
GOOGL,4/3/2014
GPC,12/31/1973
GPN,4/25/2016
GPS,8/31/1986
GRMN,12/12/2012
GS,7/22/2002
GWW,6/30/1981
HAL,
HAS,9/30/1984
HBAN,
HBI,3/20/2015
HCA,1/27/2015
HD,3/31/1988
HES,5/31/1984
HFC,6/18/2018
HIG,
HII,1/3/2018
HLT,6/19/2017
HOG,
HOLX,3/30/2016
HON,3/31/1964
HP,3/1/2010
HPE,11/2/2015
HPQ,12/31/1974
HRB,11/30/1986
HRL,3/4/2009
HSIC,3/17/2015
HST,3/20/2007
HSY,
HUM,
IBM,
ICE,9/26/2007
IDXX,1/5/2017
IEX,8/9/2019
IFF,3/31/1976
ILMN,11/19/2015
INCY,2/28/2017
INFO,6/2/2017
INTC,12/31/1976
INTU,12/5/2000
INVH,9/19/2022
IP,
IPG,10/1/1992
IPGP,3/7/2018
IQV,8/29/2017
IR,11/17/2010
IR,3/3/2020
